"NCBI","name","oralcavity_genus_prevalence","nasalcavity_genus_prevalence","stool_genus_prevalence"
"2321111","Aliarcobacter",0,0,0.000592592592592593
"   5758","Entamoeba",0,0,0.000592592592592593
"  43668","Brachybacterium",0,0,0.000592592592592593
"   1386","Bacillus",0,0,0.000592592592592593
" 400634","Lysinibacillus",0,0,0.000592592592592593
"2782229","Epilithonimonas",0,0,0.000592592592592593
"  33969","Melissococcus",0,0,0.000592592592592593
"  57499","Kytococcus",0,0,0.000592592592592593
"    379","Rhizobium",0,0,0.000592592592592593
"    234","Brucella",0,0,0.000592592592592593
"2767889","Loigolactobacillus",0,0,0.000592592592592593
" 157920","Cellulosimicrobium",0,0,0.000592592592592593
"   5052","Aspergillus",0,0,0.000592592592592593
"2282523","Methylorubrum",0,0,0.000592592592592593
" 150203","Blastomonas",0,0,0.000592592592592593
"  59734","Empedobacter",0,0,0.000592592592592593
" 204037","Dickeya",0,0,0.000296296296296296
"  66831","Facklamia",0,0,0.000296296296296296
"    745","Pasteurella",0,0,0.000296296296296296
"2817139","Weizmannia",0,0,0.000296296296296296
"2767879","Companilactobacillus",0,0,0.000296296296296296
"    590","Salmonella",0,0,0.000296296296296296
"   1696","Brevibacterium",0,0,0.000296296296296296
"   1827","Rhodococcus",0,0,0.000296296296296296
" 192992","Thermoleophilum",0,0,0.000296296296296296
"    702","Plesiomonas",0,0,0.000296296296296296
"  57739","Vogesella",0,0,0.000296296296296296
"2803850","Mammaliicoccus",0,0,0.000296296296296296
"  28453","Sphingobacterium",0,0,0.000296296296296296
"1742989","Glutamicibacter",0,0,0.000296296296296296
"    657","Photobacterium",0,0,0.000296296296296296
"  44249","Paenibacillus",0,0,0.000296296296296296
"    441","Gluconobacter",0,0,0.000296296296296296
"  28209","Chelatococcus",0,0,0.000296296296296296
"  53457","Janibacter",0,0,0.000296296296296296
" 198251","Candidatus Pelagibacter",0,0,0.000296296296296296
"  32008","Burkholderia",0,0,0.000296296296296296
"  54298","Chroococcidiopsis",0,0,0.000296296296296296
"  84567","Pedobacter",0,0,0.000296296296296296
"    357","Agrobacterium",0,0,0.000296296296296296
"  46254","Oenococcus",0,0,0.000296296296296296
"1504576","Pseudocitrobacter",0,0,0.000296296296296296
"  55506","Schwartzia",0,0,0.000296296296296296
" 596767","Hydrogenoanaerobacterium",0,0,0.000296296296296296
" 206375","Prolinoborus",0,0,0.000296296296296296
"1912215","Acidipropionibacterium",0,0,0.000296296296296296
"   1813","Amycolatopsis",0,0,0.000296296296296296
"    517","Bordetella",0,0,0.000296296296296296
"  82976","Buttiauxella",0,0,0.000296296296296296
"  34037","Rahnella",0,0,0.000296296296296296
